type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
MOVIE,2005,115,3,1,5.1,74637.0,21.495,5.7
MOVIE,2007,97,3,1,7.4,244028.0,22.0,7.2
SHOW,2010,15,4,1,7.6,1083.0,40.327,7.4
SHOW,2003,21,8,1,6.2,4709.0,37.945,7.5
MOVIE,2006,83,2,1,5.1,120997.0,83.018,5.5
MOVIE,2002,84,2,1,5.1,58884.0,10.625,5.5
MOVIE,2010,121,3,1,5.4,50383.0,9.889,5.251
MOVIE,2007,90,3,4,6.4,125160.0,32.512,6.3
MOVIE,2005,128,3,4,6.4,106781.0,12.694,6.299
MOVIE,2002,116,3,1,7.0,133215.0,32.229,7.121
MOVIE,2009,170,2,1,8.4,390739.0,44.999,8.0
MOVIE,2001,87,3,1,5.9,92007.0,21.223,6.1
SHOW,2006,25,4,1,7.2,15179.0,30.832,7.8
MOVIE,2003,98,2,1,6.2,141736.0,80.47,6.2
SHOW,2002,29,2,1,8.9,7689.0,5.128,8.3
MOVIE,2003,82,4,1,4.0,82684.0,66.8,5.3
MOVIE,2003,121,4,1,6.6,121957.0,43.254,6.797
MOVIE,2010,95,2,1,6.5,341390.0,36.06,6.3
SHOW,2008,25,9,1,8.2,1877.0,36.122,7.5
MOVIE,2006,131,2,1,7.0,61345.0,13.173,6.9
MOVIE,2009,93,5,1,6.7,33051.0,33.787,7.4
MOVIE,2003,97,2,2,5.7,118925.0,65.747,6.0
MOVIE,2007,113,3,2,6.1,187485.0,20.255,6.0
SHOW,2004,44,3,1,7.3,45249.0,37.169,7.2
MOVIE,2009,94,2,2,6.2,132177.0,19.022,6.0
SHOW,2003,23,2,1,7.0,13.0,31.584,6.9
SHOW,2007,7,4,1,8.1,28.0,31.375,7.9
MOVIE,2007,88,2,1,6.1,42285.0,11.509,6.0
SHOW,2008,30,4,1,8.0,14828.0,24.352,8.5
SHOW,2009,25,2,1,6.3,12288.0,55.706,8.774
MOVIE,2006,91,4,1,6.6,117008.0,51.891,6.6
MOVIE,2007,101,2,2,5.6,90212.0,30.423,5.9
MOVIE,2008,109,5,2,5.1,130813.0,24.671,5.4
MOVIE,2010,107,4,1,5.5,88026.0,13.63,5.6
MOVIE,2005,97,5,2,5.1,38734.0,13.695,5.3
MOVIE,2004,101,2,1,6.1,146880.0,13.938,5.8
MOVIE,2004,87,4,1,4.9,23476.0,11.818,6.2
MOVIE,2005,97,3,2,5.5,58247.0,13.521,5.6
MOVIE,2002,82,2,1,6.9,6985.0,4.854,6.7
MOVIE,2006,111,3,1,5.9,26528.0,9.435,5.9
SHOW,2009,27,2,1,8.6,2256.0,7.356,7.9
MOVIE,2001,224,4,1,8.1,111053.0,10.097,7.3
SHOW,2005,11,4,2,3.9,93.0,27.339,7.1
SHOW,2007,23,7,1,7.3,10886.0,16.655,7.3
SHOW,2002,24,1,1,8.3,4261.0,3.926,6.6
MOVIE,2005,208,2,3,6.510860655737705,23439.382473841553,7.58,7.7
MOVIE,2006,88,3,1,5.8,30468.0,11.86,5.1
MOVIE,2010,108,4,2,7.5,104500.0,4.516,7.5
MOVIE,2010,114,3,1,6.5,131623.0,40.534,6.9
MOVIE,2010,92,2,1,5.7,49901.0,15.989,5.8
MOVIE,2005,106,4,1,6.8,13205.0,10.235,6.9
MOVIE,2007,61,2,1,6.510860655737705,23439.382473841553,28.197,6.1
MOVIE,2007,96,3,1,5.9,78494.0,14.21,6.3
MOVIE,2004,86,2,1,4.5,23048.0,21.864,5.3
SHOW,2004,84,1,2,6.510860655737705,23439.382473841553,0.893,6.829174760787145
MOVIE,2006,91,3,1,5.8,72845.0,57.763,6.1
MOVIE,2007,98,2,3,6.510860655737705,23439.382473841553,15.026,5.6
SHOW,2006,23,4,1,8.2,9929.0,18.186,8.4
SHOW,2009,7,4,1,7.5,3169.0,38.171,6.9
MOVIE,2010,84,1,1,8.4,12089.0,5.717,7.9
SHOW,2010,36,5,1,7.8,1291.0,10.936,7.9
SHOW,2008,22,6,1,8.1,1497.0,19.736,8.9
MOVIE,2006,93,2,1,5.0,27936.0,11.999,5.5
MOVIE,2010,107,4,1,6.2,62464.0,15.872,6.228
SHOW,2008,25,8,1,7.3,5245.0,17.547,8.4
SHOW,2009,64,3,1,7.9,11902.0,80.384,8.28
MOVIE,2007,165,2,1,8.3,189685.0,17.66,8.012
MOVIE,2009,103,3,1,4.9,40551.0,12.459,5.4
MOVIE,2002,78,5,1,5.5,54193.0,36.691,5.733
SHOW,2009,17,4,1,5.4,2578.0,25.677,5.2
SHOW,2009,14,5,1,7.4,1261.0,11.735,6.6
MOVIE,2002,98,4,2,4.6,15740.0,12.906,5.2
SHOW,2003,24,8,1,7.3,5165.0,9.597,7.7
SHOW,2010,24,7,1,6.5,346.0,5.014,8.8
MOVIE,2004,99,2,1,5.4,49302.0,17.708,6.1
SHOW,2006,22,4,1,6.6,4449.0,12.124,8.4
SHOW,2009,55,2,1,8.1,1768.0,2.422,7.9
MOVIE,2010,88,5,3,5.1,14362.0,13.523,5.9
SHOW,2003,9,4,1,6.3,91.0,4.404,5.0
SHOW,2008,45,2,1,7.0,1422.0,21.479,6.0
SHOW,2007,25,4,1,7.8,881.0,13.045,7.9
MOVIE,2008,76,1,1,6.510860655737705,23439.382473841553,18.558,5.8
MOVIE,2005,107,7,2,6.3,8678.0,18.607,6.7
MOVIE,2007,94,4,1,6.7,4090.0,316.471,7.2
MOVIE,2009,86,1,1,7.6,10881.0,43.409,7.8
MOVIE,2007,80,3,1,6.1,511.0,47.66,7.6
MOVIE,2009,114,3,1,7.5,5467.0,39.946,7.5
MOVIE,2005,106,5,3,6.4,54900.0,17.029,6.3
MOVIE,2006,97,4,1,5.8,9990.0,15.58,6.6
SHOW,2010,9,7,1,6.8,671.0,19.476,5.8
MOVIE,2006,95,2,1,7.1,12910.0,6.191,6.7
SHOW,2005,18,6,2,5.1,8322.0,22.516,5.6
MOVIE,2004,120,5,1,7.2,3214.0,1.814,7.8
MOVIE,2010,104,3,3,7.4,13533.0,8.526,6.9
MOVIE,2006,46,2,1,7.6,1819.0,3.787,6.5
SHOW,2007,22,1,1,4.2,123.0,1.52,6.0
MOVIE,2010,138,1,1,8.1,44862.0,5.019,7.3
MOVIE,2007,162,6,1,6.7,43052.0,11.847,7.021
MOVIE,2009,102,2,1,7.3,7488.0,4.683,6.8
SHOW,2002,21,1,1,7.0,1860.0,8.06,8.1
MOVIE,2001,210,2,1,7.4,49273.0,13.699,7.9
MOVIE,2003,186,3,1,7.9,68551.0,12.001,7.5
MOVIE,2007,144,3,1,7.9,52531.0,8.69,7.4
MOVIE,2008,89,5,1,5.6,7650.0,7.282,5.6
MOVIE,2004,161,4,1,8.4,20768.0,5.753,7.4
SHOW,2008,32,4,1,7.1,59.0,22.6379253956843,6.829174760787145
MOVIE,2008,214,5,1,7.5,32440.0,11.959,7.4
SHOW,2007,20,6,1,5.6,737.0,28.909,8.2
MOVIE,2010,100,1,1,7.4,4421.0,4.431,7.7
MOVIE,2007,61,2,1,7.2,3977.0,4.43,7.0
MOVIE,2008,96,4,1,4.5,10927.0,8.809,5.6
SHOW,2001,48,2,1,7.5,325.0,32.626,7.8
MOVIE,2001,99,3,1,7.2,2593.0,36.262,7.6
MOVIE,2004,189,2,2,8.1,89556.0,10.352,7.4
MOVIE,2006,116,6,1,6.5,61.0,7.956,6.4
SHOW,2006,13,6,1,6.3,944.0,2.36,8.0
MOVIE,2010,97,4,2,5.9,3315.0,17.774,6.4
MOVIE,2006,157,4,1,8.1,118477.0,6.848,7.2
SHOW,2009,43,2,1,6.6,293.0,27.667,7.4
SHOW,2006,73,1,2,8.8,1051.0,1.41,8.8
SHOW,2009,14,5,1,6.9,1111.0,14.959,6.2
SHOW,2009,61,6,1,7.8,1951.0,9.239,7.6
MOVIE,2007,166,4,1,7.7,23708.0,8.071,6.7
MOVIE,2010,48,2,1,6.2,917.0,2.718,5.9
MOVIE,2007,160,5,1,7.0,22243.0,8.815,6.5
